# persist.sys.fanctrl.by.temperatue=0, stock ladder disabled
epoch,step,phase,level_cmd,duty_cmd,adc,fan_rb,level_rb,led_status,pll,ddr,sar
1788607552,2,4:30,4,30,1633,30,4,1,48700,50600,45400
1788607554,2,4:30,4,30,1631,30,4,1,49100,51300,45900
1788607555,2,4:30,4,30,1630,30,4,1,49500,51900,46200
1788607556,2,4:30,4,30,1634,30,4,1,49200,51900,46000
1788607558,2,4:30,4,30,1629,30,4,1,49100,51800,45900
1788607559,2,4:30,4,30,1629,30,4,1,49500,51500,46100
1788607560,2,4:30,4,30,1630,30,4,1,49200,51500,46100
1788607561,2,4:30,4,30,1629,30,4,1,49500,51600,46200
1788607563,2,4:30,4,30,1629,30,4,1,49600,51500,46000
1788607564,2,4:30,4,30,1631,30,4,1,49400,52200,46200
1788607565,2,4:30,4,30,1630,30,4,1,49700,52100,46200
1788607567,2,4:30,4,30,1628,30,4,1,49300,51400,46100
1788607568,2,4:30,4,30,1627,30,4,1,49400,51300,46100
1788607569,2,4:30,4,30,1627,30,4,1,50200,51900,46400
1788607571,2,4:30,4,30,1627,30,4,1,49700,51500,46100
1788607572,2,4:30,4,30,1627,30,4,1,49500,51900,46100
1788607573,2,4:30,4,30,1626,30,4,1,49300,51500,46100
1788607574,2,4:30,4,30,1627,30,4,1,49400,52200,46200
1788607576,2,4:30,4,30,1624,30,4,1,49600,51400,46100
1788607577,2,4:30,4,30,1626,30,4,1,49300,51500,46100
1788607578,2,4:30,4,30,1625,30,4,1,49600,51900,46300
1788607580,2,4:30,4,30,1633,30,4,1,49600,51800,46300
1788607581,2,4:30,4,30,1622,30,4,1,49600,51400,46200
1788607582,2,4:30,4,30,1625,30,4,1,49200,51400,46100
1788607584,2,4:30,4,30,1623,30,4,1,49700,51800,46400
1788607585,2,4:30,4,30,1624,30,4,1,49600,52000,46200
1788607586,2,4:30,4,30,1623,30,4,1,49600,51800,46300
1788607587,2,4:30,4,30,1623,30,4,1,49600,51600,46200
1788607589,2,4:30,4,30,1624,30,4,1,49900,51800,46300
1788607590,2,4:30,4,30,1624,30,4,1,49700,51700,46300
1788607591,2,4:30,4,30,1623,30,4,1,49400,51800,46200
1788607593,2,4:30,4,30,1623,30,4,1,49200,52000,46200
1788607594,2,4:30,4,30,1620,30,4,1,49900,52300,46300
1788607595,2,4:30,4,30,1621,30,4,1,49500,51600,46300
1788607596,2,4:30,4,30,1622,30,4,1,49500,51600,46200
1788607598,2,4:30,4,30,1618,30,4,1,49700,52100,46500
1788607599,2,4:30,4,30,1621,30,4,1,49900,51800,46400
1788607600,2,4:30,4,30,1621,30,4,1,49500,51400,46300
1788607602,2,4:30,4,30,1622,30,4,1,49500,51400,46200
1788607603,2,4:30,4,30,1622,30,4,1,49900,51900,46500
1788607604,2,4:30,4,30,1621,30,4,1,50500,52300,46400
1788607606,2,4:30,4,30,1623,30,4,1,49700,51800,46500
1788607607,2,4:30,4,30,1621,30,4,1,50100,52200,46600
1788607608,2,4:30,4,30,1620,30,4,1,49900,52100,46600
1788607609,2,4:30,4,30,1619,30,4,1,49600,51900,46400
1788607611,2,4:30,4,30,1622,30,4,1,49500,51600,46300
1788607612,2,4:30,4,30,1618,30,4,1,49600,51900,46400
1788607613,2,4:30,4,30,1620,30,4,1,50000,52100,46500
1788607615,2,4:30,4,30,1620,30,4,1,49600,51500,46300
1788607616,2,4:30,4,30,1617,30,4,1,49400,51500,46200
1788607617,2,4:30,4,30,1618,30,4,1,49300,51700,46100
1788607619,2,4:30,4,30,1617,30,4,1,49900,52200,46500
1788607620,2,4:30,4,30,1619,30,4,1,49900,52100,46400
1788607621,2,4:30,4,30,1617,30,4,1,49700,51700,46300
1788607622,2,4:30,4,30,1622,30,4,1,49800,51900,46400
1788607624,2,4:30,4,30,1616,30,4,1,50100,52300,46500
1788607625,2,4:30,4,30,1617,30,4,1,49800,51600,46300
1788607626,2,4:30,4,30,1613,30,4,1,50100,51600,46100
1788607627,2,4:30,4,30,1616,30,4,1,49500,51800,46300
1788607629,2,4:30,4,30,1616,30,4,1,50100,52000,46600
1788607630,2,4:30,4,30,1617,30,4,1,49500,51900,46300
1788607631,2,4:30,4,30,1616,30,4,1,49400,51600,46400
1788607633,2,4:30,4,30,1617,30,4,1,49600,52100,46500
1788607634,2,4:30,4,30,1616,30,4,1,50100,52000,46600
1788607635,2,4:30,4,30,1618,30,4,1,49800,51700,46400
1788607637,2,4:30,4,30,1617,30,4,1,50200,52000,46500
1788607638,2,4:30,4,30,1616,30,4,1,49700,51900,46500
1788607639,2,4:30,4,30,1625,30,4,1,49900,52100,46600
1788607640,2,4:30,4,30,1617,30,4,1,50000,51800,46400
1788607642,2,4:30,4,30,1615,30,4,1,49900,51600,46400
1788607643,2,4:30,4,30,1617,30,4,1,50000,52100,46600
1788607644,2,4:30,4,30,1615,30,4,1,49800,51700,46500
1788607646,2,4:30,4,30,1618,30,4,1,49700,52200,46400
1788607647,2,4:30,4,30,1613,30,4,1,49600,51800,46300
1788607648,2,4:30,4,30,1616,30,4,1,50700,52600,46700
1788607650,2,4:30,4,30,1615,30,4,1,49700,51800,46500
1788607651,2,4:30,4,30,1614,30,4,1,49600,51800,46400
1788607652,2,4:30,4,30,1611,30,4,1,50000,52000,46500
1788607653,2,4:30,4,30,1617,30,4,1,50300,52000,46600
1788607655,2,4:30,4,30,1617,30,4,1,49800,52400,46600
1788607656,2,4:30,4,30,1613,30,4,1,49800,52300,46500
1788607657,2,4:30,4,30,1611,30,4,1,49800,51800,46400
1788607659,2,4:30,4,30,1614,30,4,1,50000,52100,46600
1788607660,2,4:30,4,30,1613,30,4,1,49900,51800,46600
1788607661,2,4:30,4,30,1613,30,4,1,49700,52000,46400
1788607663,2,4:30,4,30,1614,30,4,1,50200,52300,46600
1788607664,2,4:30,4,30,1613,30,4,1,50500,52600,46700
1788607665,2,4:30,4,30,1612,30,4,1,49800,51800,46500
1788607666,2,4:30,4,30,1613,30,4,1,49700,52000,46500
1788607668,2,4:30,4,30,1613,30,4,1,50000,52700,46600
1788607669,2,4:30,4,30,1613,30,4,1,50000,52100,46600
1788607670,2,4:30,4,30,1611,30,4,1,50000,51700,46500
1788607672,2,4:30,4,30,1614,30,4,1,49400,51900,46400
1788607673,2,4:30,4,30,1615,30,4,1,49900,52200,46600
1788607674,2,4:30,4,30,1615,30,4,1,50200,52800,46700
1788607675,2,4:30,4,30,1613,30,4,1,50000,52100,46600
1788607677,2,4:30,4,30,1613,30,4,1,49900,51800,46500
1788607678,2,4:30,4,30,1611,30,4,1,50100,52100,46600
1788607679,2,4:30,4,30,1611,30,4,1,50000,51900,46600
1788607681,2,4:30,4,30,1612,30,4,1,49900,51800,46500
1788607682,2,4:30,4,30,1612,30,4,1,48900,51600,45900
1788607683,2,4:30,4,30,1612,30,4,1,49800,51900,46500
1788607684,2,4:30,4,30,1614,30,4,1,50400,52100,46600
1788607686,2,4:30,4,30,1612,30,4,1,49800,52200,46600
1788607687,2,4:30,4,30,1612,30,4,1,49600,51800,46600
1788607688,2,4:30,4,30,1612,30,4,1,50100,52300,46700
1788607690,2,4:30,4,30,1612,30,4,1,49900,52100,46700
1788607691,2,4:30,4,30,1611,30,4,1,49800,51900,46500
1788607692,2,4:30,4,30,1612,30,4,1,49900,52300,46600
1788607694,2,4:30,4,30,1613,30,4,1,50200,52500,46700
1788607695,2,4:30,4,30,1611,30,4,1,50000,52100,46700
1788607696,2,4:30,4,30,1609,30,4,1,49900,52300,46600
1788607697,2,4:30,4,30,1611,30,4,1,50100,52700,46600
1788607699,2,4:30,4,30,1609,30,4,1,50100,52200,46700
1788607700,2,4:30,4,30,1611,30,4,1,49800,52100,46600
1788607701,2,4:30,4,30,1610,30,4,1,50000,52000,46600
1788607703,2,4:30,4,30,1610,30,4,1,50100,52200,46600
1788607704,2,4:30,4,30,1608,30,4,1,50200,52100,46600
1788607705,2,4:30,4,30,1609,30,4,1,49900,52100,46500
1788607706,2,4:30,4,30,1611,30,4,1,49800,51900,46600
1788607708,2,4:30,4,30,1611,30,4,1,50200,52200,46700
1788607709,2,4:30,4,30,1611,30,4,1,50200,52100,46700
1788607710,2,4:30,4,30,1610,30,4,1,49900,51900,46600
1788607712,2,4:30,4,30,1611,30,4,1,49800,52100,46600
1788607713,2,4:30,4,30,1608,30,4,1,50400,52300,46800
1788607714,2,4:30,4,30,1610,30,4,1,50000,52100,46700
1788607716,2,4:30,4,30,1608,30,4,1,50100,52400,46500
1788607717,2,4:30,4,30,1608,30,4,1,49900,52100,46600
1788607718,2,4:30,4,30,1611,30,4,1,50200,52300,46700
1788607719,2,4:30,4,30,1608,30,4,1,50000,52300,46700
1788607721,2,4:30,4,30,1609,30,4,1,49700,51800,46600
1788607722,2,4:30,4,30,1609,30,4,1,49800,52200,46700
1788607723,2,4:30,4,30,1614,30,4,1,50400,52300,46800
